Segment,Overall,,,,
Client 1697,,2078.13,19794.03,11147.91,11373.23
Client 1698,,,,,229.19
Client 1699,,,,,664.48
Client 17,,,1188.72,,
Client 170,,,3520.71,3167.48,3838.57
Client 1700,,,,,25883.24
Client 1701,,,,13588.36,7746.66
Client 1702,,,,,4945.17
Client 1703,245.95,98.59,,,
Client 1704,,363.38,4484.86,,
Client 1705,1712.08,,,,
Client 1706,7810.15,6517.11,13727.84,7036.66,17783.31
Client 1707,,,,,17285.21
Client 1708,,3052.02,,,
Client 1709,,,716.36,,
Client 171,10407.058,141094.42,98346.18,36356.86,111166.07
Client 1710,,,,,292.95
Client 1711,2276.53,,,,
Client 1712,,,,,91
Client 1713,,,10044.48,,
Client 1714,,,3504.87,,
Client 1715,,,,,2914.24
Client 1716,,,,,894.02
Client 1717,,,2202.41,,
Client 1718,,,,211.99,
Client 1719,,,,6955.58,
Client 172,,,,1075.65,
Client 1720,,,,,77522.86
Client 1721,,,,,6846.85
Client 1722,378,,,867.29,941.26
Client 1723,,,,4117.53,1138.68
Client 1724,,,176.02,,
Client 1725,,,332.02,,
Client 1726,,,,31496.77,
Client 1727,,,,,2267.96
Client 1728,,,2435.31,,
Client 1729,,,,,6068.96
Client 173,,,,864.93,
Client 1730,,1160.1,38137.35,2925.12,
Client 1731,,,,,3357.53
Client 1732,,,,,5852.71
Client 1733,,,34106.45,11615.97,
Client 1734,,,,64.36,2862.12
Client 1735,,,,2902.13,
Client 1736,,,,4117.63,
Client 1737,,,,,190.58
Client 1738,,,,70.95,
Client 1739,,,,54641.07,40279.05
Client 174,,,,77.75,
Client 1740,,,22990.74,22190.12,2587.71
Client 1741,,1821.27,1287.31,,1066.25
Client 1742,,,,,17878.66
Client 1743,,,,20156.13,758.5
Client 1744,,,1244.3,,4354.36
Client 1745,,,3982.78,,
Client 1746,,,,,105.75
Client 1747,,,,,2288.65
Client 1748,,855.7,,,
Client 1749,,,,,7881.76
Client 175,,,,36483.05,76169.25
Client 1750,,,,8366.42,
Client 1751,,,,34933.14,
Client 1752,,,,,20897.9
Client 1753,,,,618.44,
Client 1754,,,,7894.13,
Client 1755,,,,,49301.12
Client 1756,,,,4562.86,
Client 1757,,,,,36.71
Client 1758,,360.31,,,
Client 1759,,,,,197.23
Client 176,,10405.31,1496.34,8277.22,2760.97
Client 1760,,,,9337.93,
Client 1761,,,,1724.69,952.93
Client 1762,,,,,36.02
Client 1763,,,,,184.64
Client 1764,,,,,728.73
Client 1765,,,,,299.27
Client 1766,,,,,1787.03
Client 1767,,22016.52,8217.81,7195.21,1081.84
Client 1768,,,,,6289.29
Client 1769,,,,,23169.06
Client 177,,,,21038.67,298924.58
Client 1770,,,353.59,,4624.5
Client 1771,,,,7058.46,2788.59
Client 1772,,,,,16953.62
