Segment,Small,,,,
Client 292,,1831.24,2692.78,4551.4,
Client 293,,1830.12,,,3349.71
Client 294,,68.65,,,
Client 295,,,253.85,,
Client 296,,,,183.46,195.11
Client 297,,,,3301.85,
Client 298,,1382.2,11996.65,12646.58,6790.09
Client 3,,,1214.69,,42039.83
Client 30,,,,,16042.16
Client 300,,,7200.16,,
Client 301,,,7691.02,,1881.37
Client 303,,,,25217.3,
Client 304,,,,,1183.83
Client 307,,,,,394.18
Client 308,,,,,9484.69
Client 309,,,,27323.7,1320.72
Client 31,,,,,12793.86
Client 311,,,,84.22,543.68
Client 312,,,,,221.18
Client 313,,,,,809.84
Client 315,,,,659.8,
Client 316,,,4499.22,16255.61,3021.69
Client 317,,,,1491.47,
Client 318,,,,583.91,2943.82
Client 319,,2475.27,,,
Client 32,,,,,252.51
Client 324,,,,,47417.9
Client 325,,3515.68,,,
Client 326,,,,16526.49,882.76
Client 328,,,,3859.24,
Client 332,,,,5302.09,
Client 334,,,2897.78,,
Client 335,,,,,3891.07
Client 337,,,5694.31,15365.27,9050.66
Client 338,,,,,233.62
Client 34,,,,369.43,313.45
Client 340,,,,,2088.2
Client 346,,,284.49,,
Client 347,,,,,3774.11
Client 349,,,,,86.14
Client 350,,,,,222681.3
Client 351,,,,10277.62,2147.32
Client 357,,,,,1976.04
Client 36,,,,264.12,
Client 360,,,3784.24,9939.7,4412.52
Client 361,,,1895.75,15101.96,14159.67
Client 362,,,12504.49,,6623.42
Client 364,,,,,98726
Client 366,,,,14388.4,21084.58
Client 367,,,,,2776.9
Client 368,,,,7882.8,18935.93
Client 369,,,,,5573.93
Client 370,1980.92,1866.57,,,
Client 372,,,,24077.81,
Client 373,,1410.43,,,
Client 378,,625.75,,,
Client 38,,,,833.09,573.33
Client 380,,,,7925.46,160.14
Client 381,,5681.06,,,
Client 383,,,,,2427.06
Client 384,,,,1679.89,4788.37
Client 385,,,,,207.91
Client 386,,,11730,408.98,2702.98
Client 387,,309.21,,,
Client 389,,,,,1701.03
Client 39,,3009.22,25868.22,2087.62,40962.7
Client 390,,,,,8501.84
Client 391,,,,,660.58
Client 393,,4901.16,8517.29,,
Client 394,,3035.89,3047.84,,3337.68
Client 395,,,,,70989.81
Client 397,,,4419.49,5437.85,
Client 398,,,,5299,9818.43
Client 40,,,,,2014.41
Client 400,,183.53,,,
Client 402,,,5240.48,468.92,
Client 407,,,,3929.44,
Client 41,,,,1211.4,
Client 411,,,150.47,,
Client 412,,,,19082.7,96519.76
Client 413,,,,,13634.26
Client 414,,,,,35.83
Client 416,,,,,1986.78
Client 417,,,,,42663.87
Client 418,,1927.57,,,
Client 42,,,,,105.07
Client 428,,,,,4532.77
Client 429,,201.57,,,
Client 43,,,,15348.55,895.45
Client 430,,,,,1395.58
Client 432,,,4044.7,,
Client 435,,,,10134.36,420.06
Client 436,,1173.08,,,
Client 438,,,,16562.82,32961.34
Client 439,,,,,642.88
